,index,SMILES,atÊýÄ¿,RT,Speed,i-PrOH_proportion,Literature,Column
1,0,O=C(OC)N(C)[C@H](B1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,1,1.81,0.5,0.05,10.1039/C9SC04534A,OJ3
3,2,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(cc2)C(F)(F)F,1,2.13,0.5,0.3,10.1039/C8QO01291A,IA
6,3,Fc1cccc(c1)[C@H]2NCc3ccccc3c4ccccc24,1,2.3,0.5,0.2,10.1039/C8SC04482A,OD3
8,4,Fc1ccc2c(CN[C@H](c3ccccc3)c4ccccc24)c1,1,2.5,0.5,0.2,10.1039/C8SC04482A,OD3
10,5,Clc1ccc2[C@H](NCc3ccccc3c2c1)c4ccccc4,1,2.6,0.5,0.2,10.1039/C8SC04482A,OD3
11,6,COc1cc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc(OC)c1OC,1,3.09,0.5,0.2,10.1039/C9SC04534A,IAU
14,7,C[C@H]1OCCc2ccc(cc12)C#Cc3ccccc3,1,2.7,0.5,0.01,10.1002/anie.201916677,IF3
15,8,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Cl)cc2,1,2.48,0.5,0.3,10.1039/C8QO01291A,IA
18,9,Cc1ccccc1[C@H]2NCc3ccccc3c4ccccc24,1,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
20,10,C1N[C@H](c2ccccc2)c3ccccc3c4ccccc14,1,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
21,11,CC(C)C[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,1,3.36,0.5,0.05,10.1039/C9SC04534A,IAU
23,12,CCCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,1,3.46,0.5,0.05,10.1039/C9SC04534A,IAU
26,13,CCCCCCCCCC[C@H]1NC(=O)c2ccccc2O1,1,3.21,0.5,0.05,10.1002/chem.202002930,OD3
28,14,C[C@H]1NC(=O)c2cc(F)ccc2O1,1,3.32,0.5,0.1,10.1002/chem.202002930,OD3
30,15,Fc1ccc2c(CN[C@H](c3ccccc3)c4ccccc24)c1,1,3.4,0.5,0.2,10.1039/C8SC04482A,OD3
31,16,Cc1ccc(cc1)[C@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,1,4.32,1,0.1,10.1002/anie.201501762,ADH
33,17,CCCCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,1,3.66,0.5,0.05,10.1039/C9SC04534A,IAU
35,18,CCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,1,3.74,0.5,0.05,10.1039/C9SC04534A,IAU
37,19,CCCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c2ccccc2,1,4.2,1,0.1,10.1002/adsc.201900161,ODH
40,20,C[C@H]1NC(=O)c2cccc(C)c2O1,1,3.54,0.5,0.1,10.1002/chem.202002930,OD3
41,21,Cc1ccccc1C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O,1,3.81,0.5,0.05,10.1039/C9SC04534A,IAU
43,22,C[C@H]1Oc2ccccc2C(=O)N1C,1,3.21,0.5,0.1,10.1002/chem.202002930,OD3
45,23,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,1,6.4,1,0.1,10.1002/anie.201501762,ADH
48,24,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccccc3,1,3.67,1,0.1,10.1002/anie.201501762,ADH
50,25,C[C@H]1NC(=O)c2cc(Br)ccc2O1,1,3.69,0.5,0.1,10.1002/chem.202002930,OD3
52,26,CCCC[C@H]1NC(=O)c2ccccc2O1,1,3.72,0.5,0.1,10.1002/chem.202002930,OD3
54,27,C[C@H]1NC(=O)c2cc(F)ccc2O1,1,3.74,0.5,0.1,10.1002/chem.202002930,OD3
56,28,CC(=O)c1ccc(cc1)[C@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)NC(C)(C)c2ccccn2,1,3.9,1,0.3,10.1039/D1CC01690C,ADH
58,29,C[C@H]1N(Cc2ccccc2c3ccccc13)C(=O)OC(C)(C)C,1,3.9,0.3,0.02,10.1039/C8SC04482A,AD3
60,30,CC1(C)OB(OC1(C)C)[C@H](CC2CCCCC2)N3CCOC3=O,1,3.91,0.5,0.05,10.1039/C9SC04534A,IAU
61,31,Cc1ccc(cc1)[S](=O)(=O)C[C@H]2CCCc3ccccc23,1,3.27,0.5,0.1,10.1039/C8QO01291A,IB
64,32,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2sccc2,1,3.98,0.5,0.1,10.1039/C8QO01291A,IA
66,33,C[C@H]1NC(=O)c2ccccc2O1,1,3.98,0.5,0.1,10.1002/chem.202002930,OD3
67,34,CO[C@H](NC(=O)c1sccc1)c2ccccc2CCCC(F)(F)F,1,4.46,1,0.1,10.1002/anie.201405401,ADH
69,35,CC(C)c1ccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc1,1,4.31,0.5,0.05,10.1039/C9SC04534A,IAU
71,36,Cc1cccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,1,4.42,0.5,0.05,10.1039/C9SC04534A,IAU
74,37,C[C@H]1OCCc2ccc(cc12)C#CCCOCc3ccccc3,1,4.1,0.5,0.01,10.1002/anie.201916677,IF3
76,38,C[C@H]1NC(=O)c2ccc(C)cc2O1,1,4.12,0.5,0.1,10.1002/chem.202002930,OD3
78,39,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccc(F)cc3,1,4.13,1,0.1,10.1002/anie.201501762,ADH
79,40,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Br)cc2,1,3.84,0.5,0.1,10.1039/C8QO01291A,IA
81,41,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2C,1,3.37,0.5,0.1,10.1039/C8QO01291A,IA
84,42,CC(C)CC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,1,4.18,1,0.1,10.1039/C1SC00295C,OJ
85,43,O=C1N[C@H](C2CCCCC2)c3ccccc3N1,1,4.9,1,0.2,10.1039/D1QO01598B,OJH
88,44,CC(C)(NC(=O)C[C@H]1CCOc2ccc(Cl)cc12)c3ccccn3,1,4.2,1,0.3,10.1039/D1QO00302J,ASH
90,45,C[C@H]1NC(=O)c2ccccc2c3ncccc13,1,4.2,0.5,0.2,10.1021/acs.orglett.0c02282,AD3
92,46,C[C@H]1NC(=O)c2ccccc2c3ccccc13,1,4.2,0.5,0.2,10.1021/acs.orglett.0c02282,AD3
93,47,COC(=O)CC[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2,1,3.56,0.5,0.3,10.1039/C8QO01291A,IB
96,48,C[C@H]1NC(=O)c2ccc(Cl)cc2O1,1,4.21,0.5,0.1,10.1002/chem.202002930,OD3
99,50,CCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,1,4.27,1,0.2,10.1039/C1SC00295C,OJ
101,51,C[C@H]1NC(=O)c2cc(C)ccc2O1,1,4.29,0.5,0.1,10.1002/chem.202002930,OD3
103,52,CC(C)(NC(=O)C[C@H]1CCOc2ccc(cc12)C(F)(F)F)c3ccccn3,1,4.3,1,0.2,10.1039/D1QO00302J,ASH
104,53,CO[C@H](NC(=O)C(C)(C)C)c1ccccc1CCCC(F)(F)F,1,4.93,1,0.1,10.1002/anie.201405401,ODH
107,54,CCOC(OCC)[C@H](N)c1sccc1,1,4.4,0.5,0.05,10.1039/D1CC06601C,OD3
109,55,O[C@H](c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,1,4.4,1,0.15,10.1039/D1QO00368B,ODH
110,56,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2,1,4.01,0.5,0.1,10.1039/C8QO01291A,IA
113,58,CC(C)(C)[Si](C)(C)OCC[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,1,4.91,1,0.1,10.1021/jacs.8b12095,AD
116,59,CC(C)c1cc(C(C)C)c(NC[C@H]2CCc3cccc(C)c3N2)c(c1)C(C)C,1,4.5,1,0.05,10.1002/anie.201909919,ODH
118,60,COc1cccc(c1)[C@H](C)CC(=O)NC(C)(C)c2ccccn2,1,4.5,1,0.3,10.1039/D1CC01690C,ASH
119,61,CC1(C)COC(OC1)c2ccc(cc2)[C@]3(C)CC(C)(C)CN3C(=S)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F,1,6.1,1,0.1,10.1002/anie.201501762,ODH
122,62,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(OC(F)(F)F)cc2,1,4.6,1,0.2,10.1039/D1CC01690C,ADH
124,63,CCC(CC)(O[Si](C)(C)C(C)(C)C)C#Cc1cc(C)ccc1[S@](=O)c2ccccn2,1,4.6,1,0.3,10.1021/acs.orglett.1c02918,ODH
125,64,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4,1,9.87,1,0.1,10.1002/anie.201501762,ODH
127,65,C[C@]1(CC2(CCCCC2)CN1)c3ccc(cc3)c4ccccc4,1,5.51,1,0.3,10.1002/anie.201501762,ADH
130,66,C(C[C@H](C#Cc1ccccc1)c2ccccc2)Cc3ccccc3,1,4.65,1,0.01,10.1038/s41557/019/0346/2,IB
131,67,Cc1ccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc1,1,5.11,0.5,0.05,10.1039/C9SC04534A,IAU
133,68,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)C#C,1,8.06,1,0.1,10.1002/anie.201501762,ADH
136,69,CCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,1,4.68,1,0.1,10.1039/C1SC00295C,OJ
137,70,C[C@H](CCCCCCCCBr)c1cc2c(F)cccc2n1c3ccc(cn3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,1,5.12,0.6,0.05,10.1021/jacs.1c08562,IF
140,71,CCOC(OCC)C#C[C@H](C)c1ccc(C)cc1,1,4.74,1,0.02,10.1038/s41557/019/0346/2,IG
141,72,CN(C)C(=O)[C@H](NC(=O)c1ccccc1)C(C)(C)C,1,4.07,1,0.2,10.1002/anie.202202552,AD3
144,73,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(F)c(Cl)c3,1,4.8,1,0.2,10.1002/anie.201907115,IE
146,74,C[C@H](C#Cc1ccccc1)c2ccc3ccccc3c2,1,4.82,1,0.03,10.1038/s41557/019/0346/2,OD3
147,75,CC(C)(C(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1)C(F)(F)F,1,4.35,1,0.3,10.1002/anie.202110084,AZ
150,76,CC[C@H](C#Cc1ccccc1)c2cccc(OC)c2,1,4.89,1,0.01,10.1038/s41557/019/0346/2,OD3
152,77,CCCCCCCCCC[C@H]1OCCc2ccccc12,1,4.9,0.8,0.01,10.1002/anie.201916677,IF
154,79,C[C@H](C[S](C)(=O)=O)c1ccccc1,1,4.61,0.5,0.3,10.1039/C8QO01291A,IC
157,80,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(cc3)C(F)(F)F,1,4.94,1,0.1,10.1002/anie.201907115,IE
158,81,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)c5ccccc5,1,6.64,1,0.1,10.1002/anie.201501762,ODH
161,82,CC1(C)OB(OC1(C)C)[C@H](CCCc2ccccc2)N3CCOC3=O,1,4.98,0.5,0.05,10.1039/C9SC04534A,IAU
163,83,COCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,1,5,1,0.3,10.1039/C1SC00295C,OJ
165,84,CCCC[C@H]1OCCc2ccccc12,1,5,0.8,0.01,10.1002/anie.201916677,IF
167,85,CCc1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,1,5.01,1,0.2,10.1002/anie.201907115,IE
168,86,CC(C)O[C@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,1,6.05,1,0.1,10.1002/anie.201405401,ADH
171,87,CC1(C)OB(OC1(C)C)[C@H](Cc2cccc(F)c2)N3CCOC3=O,1,5.04,0.5,0.05,10.1039/C9SC04534A,IAU
173,88,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,1,5.05,1,0.3,10.1002/anie.201907115,IE
174,89,Cc1cccc(c1)[C@]2(CCCC2=O)CSc3ccccc3C,1,5.4,1,0.2,10.1002/anie.201907115,IE
176,90,C[C@]1(CC2(CCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4,1,13.5,1,0.1,10.1002/anie.201501762,ODH
179,91,CC(C)OC(=O)c1ccc(c(c1)C#C[Si](C(C)C)(C(C)C)C(C)C)[S@](=O)c2ccccn2,1,5.1,1,0.3,10.1021/acs.orglett.1c02918,IB
180,92,Oc1ccc(cc1)[S@](=O)c2ccccn2,1,8.1,1,0.3,10.1021/acs.orglett.1c02918,ODH
183,93,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(F)cc3,1,5.13,1,0.2,10.1002/anie.201907115,IE
185,95,CCOC(=O)[C@](CNC(C)=O)(Sc1ccc(C)cc1)c2ccccc2,1,5.83,1,0.3,10.1021/ol901572x,OD
187,96,C[C@H]1CCc2cc(F)ccc2N1,1,5.9,1,0.1,10.1039/C4CY00418C,ODH
190,97,CC(C)[Si](C#Cc1cc(C)ccc1[S@](=O)c2ccc(cn2)C(F)(F)F)(C(C)C)C(C)C,1,5.2,0.8,0.15,10.1021/acs.orglett.1c02918,ADH
191,98,Cc1ccc(cc1)[S@](=O)c2ccc(cn2)C(F)(F)F,1,4.6,1,0.3,10.1021/acs.orglett.1c02918,OJH
194,99,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc(Cl)cc3,1,5.25,1,0.2,10.1002/anie.201907115,IE
195,100,COc1ccc2O[C@H](C)NC(=O)c2c1,1,3.6,0.5,0.1,10.1002/chem.202002930,OD3
197,101,C=CCN[C@H](\C=C\c1ccccc1)c2ccccc2,1,5.581,1,0.05,10.1039/C4CC03920C,ODH
200,102,CCC(C)(C)C(=O)O[C@H](C(=O)NC(C)(C)C)c1cccc(c1)[N+]([O-])=O,1,5.3,1,0.2,10.1021/jacs.5b09117,ADH
201,103,CO[C@H](NC(=O)c1ccccc1)c2cc(C)ccc2CCCC(F)(F)F,1,6.78,1,0.05,10.1002/anie.201405401,ODH
204,104,CC(C)[Si](C#Cc1cc(ccc1[S@](=O)c2ccccn2)C(F)(F)F)(C(C)C)C(C)C,1,5.3,0.8,0.15,10.1021/acs.orglett.1c02918,ADH
206,105,Cc1ccc(cc1)\C=C2/[C@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)N2C(C)(C)c3ccccn3,1,5.3,0.8,0.05,10.1002/anie.202004504,ADH
207,106,CC(C)(C)c1ccc(cc1)[S@](=O)c2ccccn2,1,5.9,1,0.3,10.1021/acs.orglett.1c02918,ODH
209,107,CCC/C=C/C[C@]1(C(=O)N(C(=O)OC(C)(C)C)c2ccccc12)c3ccccc3,1,5,1,0.1,10.1002/adsc.201501155,ADH
212,108,CCCCC[C@H](CC=O)C(=O)OCC,1,5.3,1,0.02,10.1021/acs.orglett.9b04624,ODH
214,109,C[C@H](C(=O)NCc1ccccc1)c2ccccc2,1,5.314,1,0.2,10.1039/D0CC06311H,IA
215,110,CC(C)N(C(C)C)C(=O)[C@H](N)c1ccccc1,1,4.03,1,0.1,10.1002/anie.202202552,OD3
218,111,C[C@H](C#Cc1ccc(cc1)B2OC(C)(C)C(C)(C)O2)c3ccccc3C(=O)NC(C)(C)C,1,5.35,0.8,0.1,10.1038/s41467/019/13705/1,ADH
220,112,CC1(C)OB(OC1(C)C)[C@H](Cc2ccccc2)N3CCOC3=O,1,5.35,0.5,0.1,10.1039/C9SC04534A,AD3
222,113,CC(C)c1cccc(C(C)C)c1NC[C@H]2CCc3cccc(Br)c3N2,1,5.4,1,0.01,10.1002/anie.201909919,ODH
223,114,C[C@H]\1CC(=O)N(C1=C/c2cc(C)cc(C)c2)C(C)(C)c3ccccn3,1,6.1,0.8,0.08,10.1002/anie.202004504,ADH
226,115,CC(C)(NC(=O)C[C@H]1CCNc2ccccc12)c3ccccn3,1,5.4,1,0.2,10.1039/D1QO00302J,ASH
228,116,C[C@H]1OCCc2ccc(C)cc12,1,5.4,1,0.01,10.1002/anie.201916677,IF
230,117,C[C@H]1OCCc2ccccc12,1,5.4,0.8,0.01,10.1002/anie.201916677,IF
231,118,C[C@H](C#N)c1ccc(cc1)C(C)(C)C,1,4.9,1,0.02,10.1002/anie.201906111,ODH
234,119,C[C@H](CCCO)c1ccc(C)cc1,1,5.42,1,0.1,10.1038/s41557/019/0346/2,ODH
235,120,CC(C)(C)C(=O)O[C@H](CCCCC#N)\C=C\c1cccc(c1)C(F)(F)F,1,4.18,1,0.3,10.1002/anie.202110084,AZ
237,121,FC(F)(F)c1ccc(cc1)[S@](=O)c2ccccn2,1,6.4,1,0.3,10.1021/acs.orglett.1c02918,OJH
240,122,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccccc13,1,5.5,1,0.1,10.1002/adsc.201501155,ADH
242,123,C[C@H](O)c1ccc(Br)cc1,1,5.5,1,0.1,10.1021/acscatal.0c04206,OD3
244,124,CCC[C@H](C#Cc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,1,5.51,0.8,0.1,10.1038/s41467/019/13705/1,ADH
246,125,CC1(C)CN(C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccccc3,1,5.51,0.5,0.05,10.1002/anie.201501762,OD3
247,126,COc1cccc(c1)[C@]2(CC(F)(F)F)CC3(CCCC3)CO2,1,4.58,1,0.02,10.1002/anie.201702925,OD3
250,127,C[C@H](C#CCCO)c1ccccc1C(=O)NC(C)(C)C,1,5.55,0.8,0.2,10.1038/s41467/019/13705/1,ADH
253,129,CC1(C)CN(C(=S)Nc2ccc(cc2)C(F)(F)F)[C@](C)(C1)c3ccccc3,1,5.58,1,0.1,10.1002/anie.201501762,ODH
255,130,C[C@H]1CCc2cc(F)ccc2N1,1,5.6,1,0.1,10.1002/asia.201600445,ODH
257,131,CC(C)(C)NC(=O)c1ccccc1[C@H](CC=C)C#Cc2ccccc2,1,5.6,0.8,0.1,10.1038/s41467/019/13705/1,ADH
258,132,Cc1cc(C)cc(c1)[C@]2(CC=C)C(=O)N(C(=O)OC(C)(C)C)c3ccc(Br)cc23,1,6.1,1,0.05,10.1002/adsc.201501155,ICH
261,133,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccc(Br)cc13,1,5.6,1,0.1,10.1002/adsc.201501155,ICH
263,134,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3cc(F)ccc13,1,5.6,1,0.1,10.1002/adsc.201501155,ICH
265,135,C[C@H]1OCCc2c(C)cccc12,1,5.6,0.8,0.01,10.1002/anie.201916677,IF
267,136,C1CC(C1)[C@H](C#Cc2ccccc2)c3ccccc3,1,5.62,1,0.002,10.1038/s41557/019/0346/2,IC
268,137,C1Cc2ccccc2CN1[C@H](\C=C\c3ccccc3)c4ccccc4,1,6.67,1,0.03,10.1039/C4CC03920C,ADH
271,138,COc1ccc2C(=O)N[C@H](C)Oc2c1,1,5.65,0.5,0.1,10.1002/chem.202002930,OD3
275,140,C[C@H](C#Cc1ccc(C)cc1)c2ccccc2C(=O)NC(C)(C)C,1,5.69,0.8,0.1,10.1038/s41467/019/13705/1,ADH
277,141,COCOCCC[C@](CBr)(C(=O)c1ccccc1)c2ccccc2,1,5.69,1,0.3,10.1039/C1SC00295C,OJ
278,142,CC(C)(C)NC(=O)[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c4cc(Br)cc(Br)c4,1,6.7,1,0.3,10.1021/jacs.5b09117,IC
281,143,Cc1ccc2OCC[C@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,1,5.7,1,0.2,10.1039/D1QO00302J,ASH
282,144,CCCCC[C@H]1CC(=O)N1C(C)(C)c2ccccn2,1,6.6,1.2,0.2,10.1002/cjoc.201900533,ID
285,145,CC(C)(NC(=O)C[C@H]1CCOc2cc(Cl)ccc12)c3ccccn3,1,5.7,1,0.2,10.1039/D1QO00302J,ODH
286,146,Cc1ccc(cc1)[C@]2(CCCC2=O)CSc3ccccc3C,1,7.62,1,0.2,10.1002/anie.201907115,IE
289,147,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3cc(Br)ccc13,1,5.7,1,0.1,10.1002/adsc.201501155,ICH
291,148,C[C@H](O)c1cccc(Br)c1,1,5.7,1,0.1,10.1021/acscatal.0c04206,OD3
292,149,CC(C)[C@H](C(O)=O)c1ccc(cc1)C(C)C,1,8.5,0.8,0.03,10.1002/anie.202016705,OJ3
295,151,O=C1Nc2ccccc2[C@H]1Cc3ccccc3,1,6.603,1,0.2,10.1039/D0CC06311H,AD3
298,152,C[C@H](C#Cc1ccccc1)c2ccc(Cl)cc2C(=O)NC(C)(C)C,1,5.79,0.8,0.1,10.1038/s41467/019/13705/1,ADH
299,153,CCO[C@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,1,6.4,1,0.1,10.1002/anie.201405401,ADH
302,154,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(F)(F)F,1,5.8,1,0.1,10.1039/D1CC01690C,OJH
303,155,CC(C)(C)C(=O)O[C@H](CCCC#N)\C=C\c1ccccc1Cl,1,5,1,0.3,10.1021/jacs.1c06535,AZ
305,156,CCOC(=O)[C@H](CC=O)C(C)C,1,11.4,1,0.02,10.1021/acs.orglett.9b04624,ODH
308,157,C[C@H](C#Cc1cccc(Br)c1)c2ccccc2C(=O)NC(C)(C)C,1,5.81,0.8,0.1,10.1038/s41467/019/13705/1,ADH
310,158,C[C@H](C#Cc1ccccc1)c2cc(C)ccc2C(=O)NC(C)(C)C,1,5.82,0.8,0.1,10.1038/s41467/019/13705/1,ADH
311,159,CCOC(OCC)C#C[C@H](C)c1ccc(C)cc1,1,4.82,1,0.02,10.1038/s41557/019/0346/2,IG
314,160,CC(C)[Si](C#Cc1cc(F)ccc1[S@](=O)c2ccccn2)(C(C)C)C(C)C,1,5.9,0.8,0.1,10.1021/acs.orglett.1c02918,ADH
316,161,CC(C)(N1[C@H](CC(c2ccc(F)cc2)c3ccc(F)cc3)CC1=O)c4ccccn4,1,5.9,1.2,0.2,10.1002/cjoc.201900533,ID
318,162,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(C)cc2,1,5.9,1,0.3,10.1039/D1CC01690C,OJH
320,163,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3ccc(Cl)cc13,1,5.9,1,0.1,10.1002/adsc.201501155,ICH
322,164,C[C@H](O)c1cccc(C)c1,1,5.9,1,0.1,10.1021/acscatal.0c04206,OD3
324,165,C[C@H](C#Cc1cccnc1)c2ccccc2C(=O)NC(C)(C)C,1,5.91,0.8,0.2,10.1038/s41467/019/13705/1,ADH
326,166,C[C@H](C#Cc1ccc(cc1)C(F)(F)F)c2ccccc2C(=O)NC(C)(C)C,1,5.92,0.8,0.1,10.1038/s41467/019/13705/1,ADH
328,168,C[C@H]1CC(C)(C)CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F,1,9.07,1,0.1,10.1002/anie.201501762,ASH
331,169,C[C@H](C#N)c1cccc2ccccc12,1,5.94,0.5,0.05,10.1002/cjoc.202000309,AS
333,170,FC(F)(F)CCCc1ccccc1[C@H](NC(=O)c2ccccc2)OCCCBr,1,5.95,1,0.1,10.1002/anie.201405401,ODH
335,171,C[C@H](C#Cc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,1,5.96,0.8,0.1,10.1038/s41467/019/13705/1,ADH
336,172,C[C@H]1COCCc2c3ccccc3n(c4ccc(cc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F)c12,1,7.39,0.6,0.3,10.1021/jacs.1c08562,ADH
339,173,CC(C)(O)C[C@H]1CCc2ccccc2N1,1,6,0.8,0.05,10.1002/asia.201600445,ODH
341,174,C[C@H](C#Cc1ccccc1)c2cscn2,1,6,1,0.05,10.1038/s41557/019/0346/2,OD3
342,175,CC(C)(NC(=O)C[C@H](CC(c1ccccc1)c2ccccc2)c3ccc(Cl)cc3)c4ccccn4,1,7.2,1,0.15,10.1039/D1CC01690C,ADH
346,177,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(Br)cc2,1,6,1,0.3,10.1039/D1CC01690C,OJH
348,178,O[C@H]1CCCC(=C1Br)CC=C,1,6,1,0.05,10.1021/acs.orglett.1c01744,OD3
350,179,CC(C)c1ccccc1SC[C@]2(CCCC2=O)c3ccccc3,1,6.01,1,0.05,10.1002/anie.201907115,IE
352,180,Cc1ccccc1SC[C@]2(CCCC2=O)c3ccc4ccccc4c3,1,6.02,1,0.3,10.1002/anie.201907115,IE
353,181,CC(C)(C)CC(=O)O[C@H](CCCCC#N)\C=C\c1ccccc1,1,5.14,1,0.3,10.1002/anie.202110084,AZ
356,182,CC1(C)OB(OC1(C)C)[C@H](Cc2ccc(Cl)cc2)N3CCOC3=O,1,6.06,0.5,0.1,10.1039/C9SC04534A,IAU
358,183,CC(C)[Si](C#Cc1cc(ccc1[S@](=O)c2ccccn2)C(C)(C)C)(C(C)C)C(C)C,1,6.1,0.8,0.15,10.1021/acs.orglett.1c02918,ADH
360,184,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,1,6.1,1,0.3,10.1039/D1CC01690C,ADH
361,185,C[C@H]\1CC(=O)N(C1=C/c2cccc(C)c2)C(C)(C)c3ccccn3,1,6.9,0.8,0.1,10.1002/anie.202004504,ADH
363,186,C[C@H]\1CC(=O)N(C1=C/c2ccccc2C)C(C)(C)c3ccccn3,1,7.3,0.8,0.1,10.1002/anie.202004504,ADH
366,187,COc1cccc2[C@H](CCOc12)CC(=O)NC(C)(C)c3ccccn3,1,6.1,1,0.1,10.1021/acs.orglett.0c03775,ODH
367,188,Cc1ccc(cc1)[S@](=O)c2ccccn2,1,6.7,1,0.3,10.1021/acs.orglett.1c02918,OJH
369,189,C[C@H](C#N)c1ccc(Cl)cc1,1,7.1,1,0.05,10.1002/anie.201906111,ADH
371,190,CCOC(=O)[C@H](CC=O)Cc1ccc(cc1)C(C)(C)C,1,9.2,1,0.05,10.1021/acs.orglett.9b04624,ODH
373,191,COc1cccc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)c1,1,7.45,0.5,0.05,10.1039/C9SC04534A,IAU
375,192,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[C@H](C#C)C(=C)C(=O)OCc2ccccc2,1,6.88,1,0.01,10.1021/jacs.7b08207,OD
381,195,Cc1ccccc1SC[C@]2(CCCC2=O)CCc3ccccc3,1,6.19,1,0.1,10.1002/anie.201907115,IE
383,196,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,1,6.2,0.7,0.4,10.1002/anie.201804197,ADH
